#      name         ra(2000.0)  dec(2000.0)   g   gerr   r   rerr   i   ierr    z     zerr
J122645.2+215335 12 26 45.267 +21 53 35.176 21.79 0.03 19.79 0.03 19.48 0.03 0.44017 0.00010
J122646.7+215246 12 26 46.736 +21 52 46.274 22.48 0.03 20.48 0.03 20.19 0.03 0.43860 0.00010
J122625.8+215527 12 26 25.814 +21 55 27.209 21.24 0.03 19.04 0.03 18.76 0.03 0.43342 0.00009
J122646.7+215355 12 26 46.736 +21 53 55.384 22.86 0.03 20.66 0.03 20.36 0.03 0.43779 0.00015
J122556.7+215751 12 25 56.796 +21 57 51.089 22.11 0.03 20.12 0.03 19.80 0.03 0.43349 0.00011
J122652.6+215329 12 26 52.657 +21 53 29.683 23.18 0.03 21.11 0.03 20.81 0.03 0.43265 0.00014
J122630.5+215810 12 26 30.586 +21 58 10.432 21.30 0.03 19.18 0.03 18.81 0.03 0.48305 0.00010
J122623.4+215854 12 26 23.478 +21 58 54.830 21.25 0.03 19.65 0.03 19.46 0.03 0.33429 0.00010
J122547.7+220413 12 25 47.714 +22 04 13.743 22.10 0.03 19.99 0.03 19.79 0.03 0.42216 0.00010
J122651.4+215422 12 26 51.412 +21 54 22.438 22.71 0.03 20.63 0.03 20.30 0.03 0.43477 0.00008
J122648.5+215537 12 26 48.519 +21 55 37.351 22.33 0.03 20.31 0.03 20.05 0.03 0.43724 0.00012
J122638.7+215851 12 26 38.727 +21 58 51.830 23.03 0.03 21.05 0.03 20.75 0.03 0.43632 0.00010
J122653.1+215845 12 26 53.115 +21 58 45.142 22.64 0.03 20.72 0.03 20.40 0.03 0.43418 0.00008
J122654.6+215642 12 26 54.624 +21 56 42.624 23.55 0.03 21.57 0.03 21.31 0.03 0.21136 0.00007
J122656.5+220522 12 26 56.547 +22 05 22.483 21.90 0.03 19.81 0.03 19.46 0.03 0.43265 0.00011
J122657.5+220012 12 26 57.598 +22 00 12.071 22.13 0.03 20.67 0.03 20.51 0.03 0.51975 0.00007
J122656.2+215910 12 26 56.287 +21 59 10.452 21.16 0.03 19.02 0.03 18.71 0.03 0.43687 0.00009
J122651.0+220207 12 26 51.097 +22 02 07.551 22.20 0.03 20.13 0.03 19.86 0.03 0.51710 0.00010
