name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122741.9+214141 12h27m41.993s +21d41m41.704s 22.56 0.03 20.42 0.03 20.12 0.03 0.47526 0.00010
J122709.5+214923 12h27m09.536s +21d49m23.184s 23.10 0.03 21.04 0.03 20.77 0.03 0.43991 0.00012
J122712.7+214143 12h27m12.788s +21d41m43.901s 22.73 0.03 20.72 0.03 20.43 0.03 0.38771 0.00011
J122705.2+214743 12h27m05.208s +21d47m43.291s 22.48 0.03 20.48 0.03 20.17 0.03 0.43848 0.00012
J122714.4+214309 12h27m14.476s +21d43m09.361s 23.19 0.03 21.00 0.03 20.58 0.03 0.53538 0.00015
J122713.9+214431 12h27m13.923s +21d44m31.854s 22.58 0.03 20.44 0.03 20.04 0.03 0.46016 0.00009
J122705.3+214220 12h27m05.354s +21d42m20.176s 21.22 0.03 19.09 0.03 18.70 0.03 0.43355 0.00011
J122711.6+214058 12h27m11.682s +21d40m58.040s 20.88 0.03 18.81 0.03 18.55 0.03 0.37874 0.00009
J122721.3+220224 12h27m21.361s +22d02m24.573s 21.85 0.03 19.67 0.03 19.30 0.03 0.45898 0.00013
J122727.7+220538 12h27m27.762s +22d05m38.839s 22.70 0.03 21.02 0.03 20.59 0.03 0.57339 0.00014
J122659.7+220233 12h26m59.744s +22d02m33.575s 22.53 0.03 20.49 0.03 20.16 0.03 0.51393 0.00012
J122759.2+215232 12h27m59.213s +21d52m32.836s 22.72 0.03 20.66 0.03 20.41 0.03 0.45850 0.00012
J122729.5+215649 12h27m29.539s +21d56m49.861s 22.32 0.03 20.16 0.03 19.87 0.03 0.46121 0.00009
J122800.0+215256 12h28m00.084s +21d52m56.429s 22.77 0.03 20.81 0.03 20.48 0.03 0.45808 0.00020
J122757.9+220005 12h27m57.986s +22d00m05.734s 22.78 0.03 20.77 0.03 20.38 0.03 0.43607 0.00017
J122711.9+214647 12h27m11.924s +21d46m47.645s 22.85 0.03 20.75 0.03 20.40 0.03 0.43270 0.00014
J122730.7+214734 12h27m30.721s +21d47m34.090s 23.01 0.03 21.01 0.03 20.70 0.03 0.43486 0.00018
J122550.8+220327 12h25m50.897s +22d03m27.846s 21.91 0.03 21.44 0.03 21.60 0.03 0.00035 0.00050
J122555.5+214557 12h25m55.534s +21d45m57.485s 18.17 0.03 17.36 0.03 17.35 0.03 0.06868 0.00050
J122557.5+214831 12h25m57.547s +21d48m31.943s 22.35 0.03 20.08 0.03 19.52 0.03 0.56521 0.00050
